Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
177993,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,lineatus,"(Linnaeus, 1758)",,,,,Acanthurus vittatus  |Chaetodon lineatus  |Ctenodon lineatus  |Harpurus lineatus  |Hepatus lineatus  |Rhombotides lineatus  |Teuthis lineatus  ,"Lined Surgeonfish, Zebra Surgeonfish, Clown Surgeonfish, Blue Banded Surgeonfish, Striped Surgeon, Striped Surgeonfish, Blue-lined Surgeonfish","Chirurgien ‡ Lignes Bleues, Chirurgien ZÈbrÈ, Migraine TachetÈe","Cajeta Moteada, NavajÛn Cebra",LC,,3.1,2012,stable,N
177957,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,maculiceps,"(Ahl, 1923)",,,,,Hepatus maculiceps  ,"Spotted-face Surgeonfish, Earbar Surgeonfish, Pale-lined Surgeonfish, White-freckled Surgeonfish, Yellow-freckled Surgeonfish",,,LC,,3.1,2012,unknown,N
177967,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,mata,"(Cuvier, 1829)",,,,,Acanthurus bleekeri  |Acanthurus weberi  |Chaetodon mata  |Chaetodon meta  ,"Elongate Surgeonfish, White-tail Lancet, Bleeker's Surgeonfish, Mata Surgeonfish, Pale Surgeon, Striped Surgeonfish, Blue-lined Surgeonfish, Yellowmask Surgeonfish","Chirurgien, Grand Picot de RÈcif, Picot Kanak, Poisson Docteur ‡ Queue Blanche",,LC,,3.1,2012,stable,N
178023,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,monroviae,"Steindachner, 1876",,,,,Teuthis munroviae  ,Monrovia Surgeonfish,"Docteur, Chirurgien Chas-chas","Cirujano, NavajÛn, NavajÛn caniveta, NavajÛn canivete",LC,,3.1,2012,unknown,N
177969,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nigricans,"(Linnaeus, 1758)",,,,,Acanthurus aliala  |Acanthurus glaucoparecius  |Acanthurus glaucopareius  |Chaetodon nigricans  ,"GoldenRim Surgeonfish, Yellow Spotted Surgeonfish, Blackear Surgeonfish, Gold-rim Tang, Gray Surgeonfish, Velvet Surgeonfish, White-cheeked surgeonfish, Whiteface Surgeonfish, Whitetail Surgeonfish, Yellowrimmed Surgeonfish, Black Surgeonfish","Chirurgien ‡ Joue Blanche, Chirurgien ‡ Marques Jaunes, Chirurgien Noir‚tre","Cirujano Cariblanco, Cirujano de Cara Blanca, Cirujano Filo Amarillo, NavajÛn Cariblanco, Pez Cirujano, Pez Cirujano de Filo Amarillo",LC,,3.1,2012,stable,N
178017,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nigricauda,"Duncker & Mohr, 1929",,,,,Acanthurus gahm subspecies nigricauda|Acanthurus nigricaudus  ,"Blackstreak Surgeonfish, Shoulderbar Surgeonfish, Epaulette Surgeonfish, Black-barred Surgeonfish, White-tail Surgeonfish",Chirurgien ‡ Queue Blanche,,LC,,3.1,2012,stable,N
178019,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nigrofuscus,"(ForsskÂl, 1775)",,,,,Acanthurus fuliginosus  |Acanthurus lineolatus  |Acanthurus matoides  |Acanthurus rubropunctatus  |Chaetodon nigrofuscus  |Ctenodon rubropunctatus  |Hepatus fuliginosus  |Hepatus lineolatus  |Hepatus lucillae  |Teuthis lucillae  ,"Brown Surgeonfish, Lavender Tang, Dusky Surgeonfish, Blackspot Surgeonfish, Spot-cheeked Surgeonfish",Chirurgien Brun,,LC,,3.1,2012,stable,N
177999,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nigroris,"Valenciennes, 1835",,,,,Acanthurus atramentatus  |Acanthurus bipunctatus  |Hepatus atramentatus  |Teuthis atrimentatus  ,Bluelined Surgeonfish,,,LC,,3.1,2012,stable,N
177961,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nubilus,"(Fowler & Bean, 1929)",,,,,Harpurina nubilus  |Hepatus nubilus  ,"Dropoff Surgeonfish, Pin-striped Surgeon, Bluelined Surgeonfish",Chirurgien Rond,,LC,,3.1,2012,unknown,N
177991,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,olivaceus,"Bloch & Schneider, 1801",,,,,Acanthurus chrysosoma  |Acanthurus eparei  |Acanthurus humeralis  |Ctenodon erythromelas  |Harpurus paroticus  |Hepatus chrysosoma  |Hepatus olivaceus  |Rhombotides olivaceus  |Rhombotides xanthosoma  |Teuthis olivaceus  ,"Orange band Surgeonfish, Orange-epaulette Surgeonfish, Gendarme Fish, Orangeband Surgeonfish, Orangebar Surgeonfish, Orange-blotch Surgeon, Orange-ear Surgeonfish, Olive Surgeonfish, Orange Epoulette Surgeon, Orangespot Surgeonfish, Orange Spot Tang","Chirurgien ‡ Epaulettes, Chirurgien Olive, Poisson Gendarme",,LC,,3.1,2012,stable,N
