id,family_id,name,created_at,updated_at,wikitext,image_name
111,47,Bison,2014-09-09 21:51:29.194198,2014-09-10 04:56:13.939212,,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/American_Bison_AdF.jpg/220px-American_Bison_AdF.jpg
112,47,Biswamoyopterus,2014-09-09 21:51:30.263755,2014-09-10 04:56:13.962139,,/image/tree-frog-logo.png
113,47,Blanfordimys,2014-09-09 21:51:30.731673,2014-09-10 04:56:13.98261,,/image/tree-frog-logo.png
114,47,Blarina,2014-09-09 21:51:31.818377,2014-09-10 04:56:14.004824,,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Blarina_brevicauda_2.jpg/220px-Blarina_brevicauda_2.jpg
115,47,Blarinella,2014-09-09 21:51:33.264471,2014-09-10 04:56:14.024727,,/image/tree-frog-logo.png
116,47,Blarinomys,2014-09-09 21:51:35.36811,2014-09-10 04:56:14.046929,,/image/tree-frog-logo.png
117,47,Blastocerus,2014-09-09 21:51:35.80091,2014-09-10 04:56:14.067355,,http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Female_Marsh_Deer_Steros_del_Ibera.jpg/250px-Female_Marsh_Deer_Steros_del_Ibera.jpg
118,48,Boromys,2014-09-09 21:51:36.46653,2014-09-10 04:56:14.087094,,/image/tree-frog-logo.png
119,48,Bos,2014-09-09 21:51:37.449178,2014-09-10 04:56:14.107778,,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Bos_grunniens_at_Yundrok_Yumtso_Lake.jpg/220px-Bos_grunniens_at_Yundrok_Yumtso_Lake.jpg
120,48,Boselaphus,2014-09-09 21:51:40.309068,2014-09-10 04:56:14.129732,,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Nilgaihead.jpg/220px-Nilgaihead.jpg
121,48,Brachiones,2014-09-09 21:51:40.782855,2014-09-10 04:56:14.153026,,/image/tree-frog-logo.png
122,49,Brachylagus,2014-09-09 21:51:41.404948,2014-09-10 04:56:14.173788,,/image/tree-frog-logo.png
123,49,Brachyphylla,2014-09-09 21:51:42.0015,2014-09-10 04:56:14.194242,,/image/tree-frog-logo.png
124,49,Brachytarsomys,2014-09-09 21:51:43.120994,2014-09-10 04:56:14.216244,,/image/tree-frog-logo.png
125,49,Brachyteles,2014-09-09 21:51:44.273939,2014-09-10 04:56:14.237269,,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Northern_Muriqui_9.jpg/275px-Northern_Muriqui_9.jpg
126,49,Brachyuromys,2014-09-09 21:51:45.340228,2014-09-10 04:56:14.260069,,/image/tree-frog-logo.png
127,50,Bradypus,2014-09-09 21:51:46.377458,2014-09-10 04:56:14.281697,,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Bradypus_tridactylus_-Parque_del_Este%2C_Caracas%2C_Venezuela-8.jpg/220px-Bradypus_tridactylus_-Parque_del_Este%2C_Caracas%2C_Venezuela-8.jpg
128,50,Brotomys,2014-09-09 21:51:48.376502,2014-09-10 04:56:14.302863,,/image/tree-frog-logo.png
129,50,Brucepattersonius,2014-09-09 21:51:48.867028,2014-09-10 04:56:14.32486,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Status_iucn3.1_blank.svg/220px-Status_iucn3.1_blank.svg.png
130,50,Bubalus,2014-09-09 21:51:53.287465,2014-09-10 04:56:14.34585,,http://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Lowland_anoa.jpg/220px-Lowland_anoa.jpg
131,50,Budorcas,2014-09-09 21:51:55.512066,2014-09-10 04:56:14.367845,,/image/tree-frog-logo.png
132,50,Bullimus,2014-09-09 21:51:56.11711,2014-09-10 04:56:14.388505,,/image/tree-frog-logo.png
133,50,Bunolagus,2014-09-09 21:51:57.539195,2014-09-10 04:56:14.411395,,/image/tree-frog-logo.png
134,50,Bunomys,2014-09-09 21:51:58.126647,2014-09-10 04:56:14.431507,,/image/tree-frog-logo.png
135,51,Burramys,2014-09-09 21:52:01.657641,2014-09-10 04:56:14.454692,,/image/tree-frog-logo.png
136,52,Cabassous,2014-09-09 21:52:02.270533,2014-09-10 04:56:14.477209,,/image/tree-frog-logo.png
137,53,Cacajao,2014-09-09 21:52:04.324491,2014-09-10 04:56:14.500281,,http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Cacajao_skull_front_view_2.jpg/220px-Cacajao_skull_front_view_2.jpg
138,54,Caenolestes,2014-09-09 21:52:06.577037,2014-09-10 04:56:14.52094,,/image/tree-frog-logo.png
139,54,Calcochloris,2014-09-09 21:52:09.67224,2014-09-10 04:56:14.543828,,/image/tree-frog-logo.png
140,55,Callibella,2014-09-09 21:52:10.981215,2014-09-10 04:56:14.564392,,/image/tree-frog-logo.png
141,55,Callicebus,2014-09-09 21:52:11.506193,2014-09-10 04:56:14.589903,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Callicebus_personatus_Esp%C3%ADrito_Santo.jpg/250px-Callicebus_personatus_Esp%C3%ADrito_Santo.jpg
142,55,Callimico,2014-09-09 21:52:28.133432,2014-09-10 04:56:14.609563,,http://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Goeldis_monkey_-_butterfly_lunch_-_big.jpg/200px-Goeldis_monkey_-_butterfly_lunch_-_big.jpg
143,55,Callistomys,2014-09-09 21:52:28.790862,2014-09-10 04:56:14.629823,,/image/tree-frog-logo.png
144,55,Callithrix,2014-09-09 21:52:29.406257,2014-09-10 04:56:14.649977,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Callithrix_flaviceps.jpg/200px-Callithrix_flaviceps.jpg
145,55,Callorhinus,2014-09-09 21:52:33.391758,2014-09-10 04:56:14.672126,,http://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Callorhinus_ursinus_and_harem.jpg/220px-Callorhinus_ursinus_and_harem.jpg
