Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common names (Eng),Red List status,Population trend
136197,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,montensis,Montane Akodont,LC,decreasing
136260,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,mystax,,DD,decreasing
749,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,neocenus,"Neuquén Akodont, Neuquen Grass Mouse",DD,unknown
136408,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,oenos,Monte Akodont,DD,decreasing
752,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,orophilus,El Dorado Grass Mouse,LC,stable
136483,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,paranaensis,Paraná Akodont,LC,unknown
136676,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,pervalens,Tarija Akodont,DD,unknown
136753,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,philipmyersi,,DD,unknown
136693,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,reigi,Reig's Akodont,LC,stable
755,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,sanctipaulensis,Sao Paulo Grass Mouse,DD,unknown
756,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,serrensis,"Serrado Do Mar Grass Mouse, Serrado Mar Grass Mouse",LC,unknown
757,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,siberiae,Cochabamba Grass Mouse,NT,decreasing
758,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,simulator,"Gray-bellied Grass Mouse, Gray-ellied Grass Mouse",LC,stable
759,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,spegazzinii,Spegazzini's Grass Mouse,LC,stable
760,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,subfuscus,Puno Grass Mouse,LC,stable
761,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,surdus,Silent Grass Mouse,VU,decreasing
762,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,sylvanus,Forest Grass Mouse,LC,stable
763,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,toba,Chaco Grass Mouse,LC,stable
764,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,torques,Cloud Forest Grass Mouse,LC,stable
766,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,varius,Variable Grass Mouse,DD,unknown
811,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Alcelaphus,buselaphus,"Hartebeest, Swayne's Hartebeest",LC,decreasing
41782,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Alces,alces,"Moose, Eurasian Elk, Elk, European Elk, Eurasian Moose, Siberian Elk",LC,increasing
818,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Alces,americanus,"Moose, Siberian Elk",LC,stable
843,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Alionycteris,paucidentata,Mindanao Pygmy Fruit Bat,LC,stable
851,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,balikunica,Balikun Jerboa,LC,unknown
852,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,bullata,Gobi Jerboa,LC,unknown
853,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,elater,Small Five-toed Jerboa,LC,decreasing
854,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,euphratica,Euphrates Jerboa,NT,decreasing
855,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,firouzi,Iranian Jerboa,DD,unknown
